timestamp,Ccy Pair,Transaction Type,FX Type,Currency (Security name),Strategy 1,Strategy 2,Client Fund,Trader,Rate,Quantity/ Buy Amount,Trade/Sell currency,Custodian,Trade Date,Settlement Date,Fixing Date,Fixing Rate,Delivery Currency,Notes,Data Migration Reference,Consideration  (Sell Amount)
2019-10-09 09:18:42,USDSEK,Sell,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,9.93338,-1000.0,SEK,DB,2019-10-09,2019-10-09,,,,,0,9933.38
2019-10-09 09:00:01,USDJPY,Purchase,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,107.268,1000.0,JPY,DB,2019-10-09,2019-10-09,,,,,0,-107268.0
2019-10-09 10:00:03,USDSEK,Purchase,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,9.93614,1000.0,SEK,DB,2019-10-09,2019-10-09,,,,,0,-9936.14
2019-10-09 10:00:10,USDJPY,Sell,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,107.344,-1000.0,JPY,DB,2019-10-09,2019-10-09,,,,,0,107344.0
2019-10-09 10:00:32,GBPUSD,Purchase,1,GBP,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,1.22324,817.0,USD,DB,2019-10-09,2019-10-09,,,,,0,-999.3870800000001
2019-10-09 10:17:57,GBPUSD,Sell,1,GBP,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,1.22175,-817.0,USD,DB,2019-10-09,2019-10-09,,,,,0,998.1697499999999
2019-10-09 11:07:53,EURUSD,Sell,1,EUR,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,1.09814,-910.0,USD,DB,2019-10-09,2019-10-09,,,,,0,999.3073999999999
2019-10-09 12:03:46,EURUSD,Purchase,1,EUR,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,1.09788,910.0,USD,DB,2019-10-09,2019-10-09,,,,,0,-999.0708
2019-10-09 12:00:32,USDCHF,Sell,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,0.99524,-1000.0,CHF,DB,2019-10-09,2019-10-09,,,,,0,995.24
2019-10-09 12:00:09,USDNOK,Purchase,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,9.16001,1000.0,NOK,DB,2019-10-09,2019-10-09,,,,,0,-9160.01
2019-10-09 13:18:34,USDNOK,Sell,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,9.17564,-1000.0,NOK,DB,2019-10-09,2019-10-09,,,,,0,9175.64
2019-10-09 13:00:11,USDCHF,Purchase,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,0.99468,1000.0,CHF,DB,2019-10-09,2019-10-09,,,,,0,-994.6800000000001
2019-10-09 13:05:35,USDNOK,Sell,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,9.17472,-1000.0,NOK,DB,2019-10-09,2019-10-09,,,,,0,9174.720000000001
2019-10-09 13:00:04,USDCHF,Purchase,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,0.9947,1000.0,CHF,DB,2019-10-09,2019-10-09,,,,,0,-994.7
2019-10-09 14:01:38,USDNOK,Purchase,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,9.17128,1000.0,NOK,DB,2019-10-09,2019-10-09,,,,,0,-9171.279999999999
2019-10-09 14:00:22,USDCHF,Sell,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,0.99442,-1000.0,CHF,DB,2019-10-09,2019-10-09,,,,,0,994.42
2019-10-09 14:06:05,AUDUSD,Purchase,1,AUD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,0.6739,1483.0,USD,DB,2019-10-09,2019-10-09,,,,,0,-999.3937000000001
2019-10-09 14:57:41,AUDUSD,Sell,1,AUD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,0.67275,-1483.0,USD,DB,2019-10-09,2019-10-09,,,,,0,997.6882499999999
2019-10-09 14:03:51,EURUSD,Sell,1,EUR,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,1.09808,-910.0,USD,DB,2019-10-09,2019-10-09,,,,,0,999.2528
2019-10-09 15:00:59,EURUSD,Purchase,1,EUR,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,1.09796,910.0,USD,DB,2019-10-09,2019-10-09,,,,,0,-999.1436
2019-10-09 15:31:55,AUDUSD,Purchase,1,AUD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,0.67274,1192.0,USD,DB,2019-10-09,2019-10-09,,,,,0,-801.90608
2019-10-09 15:00:00,USDNOK,Purchase,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,9.16856,1000.0,NOK,DB,2019-10-09,2019-10-09,,,,,0,-9168.56
2019-10-09 16:04:00,AUDUSD,Sell,1,AUD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,0.67294,-1486.0,USD,DB,2019-10-09,2019-10-09,,,,,0,999.98884
2019-10-09 16:19:15,USDNOK,Sell,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,9.16791,-1000.0,NOK,DB,2019-10-09,2019-10-09,,,,,0,9167.91
2019-10-09 16:10:52,NZDUSD,Purchase,1,NZD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,0.62981,1587.0,USD,DB,2019-10-09,2019-10-09,,,,,0,-999.50847
2019-10-09 16:04:26,USDCHF,Purchase,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,0.99499,1000.0,CHF,DB,2019-10-09,2019-10-09,,,,,0,-994.99
2019-10-09 17:00:09,USDCHF,Sell,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,0.99599,-1000.0,CHF,DB,2019-10-09,2019-10-09,,,,,0,995.99
2019-10-09 17:01:00,NZDUSD,Sell,1,NZD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,0.6294,-1587.0,USD,DB,2019-10-09,2019-10-09,,,,,0,998.8577999999999
2019-10-09 17:00:01,USDJPY,Sell,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,107.576,-1000.0,JPY,DB,2019-10-09,2019-10-09,,,,,0,107576.0
2019-10-09 17:00:02,USDCAD,Purchase,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,1.33272,1000.0,CAD,DB,2019-10-09,2019-10-09,,,,,0,-1332.7199999999998
2019-10-09 18:03:18,USDJPY,Purchase,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,107.469,1000.0,JPY,DB,2019-10-09,2019-10-09,,,,,0,-107469.0
2019-10-09 18:00:03,USDCAD,Sell,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,1.33293,-1000.0,CAD,DB,2019-10-09,2019-10-09,,,,,0,1332.9299999999998
2019-10-09 19:21:54,USDCHF,Sell,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,0.99604,-1000.0,CHF,DB,2019-10-09,2019-10-09,,,,,0,996.0400000000001
2019-10-09 19:00:01,USDCAD,Purchase,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,1.33307,1000.0,CAD,DB,2019-10-09,2019-10-09,,,,,0,-1333.07
2019-10-09 20:00:00,USDCAD,Sell,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,1.33333,-1000.0,CAD,DB,2019-10-09,2019-10-09,,,,,0,1333.33
2019-10-09 20:36:08,USDCHF,Purchase,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,0.99557,3.0,CHF,DB,2019-10-09,2019-10-09,,,,,0,-2.98671
2019-10-09 20:07:09,USDCAD,Purchase,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,1.33324,1000.0,CAD,DB,2019-10-09,2019-10-09,,,,,0,-1333.24
2019-10-09 20:00:00,USDCAD,Sell,1,USD,MeanRevertingStrategy,MeanRevertingStrategy,SRQ,Algo,1.33333,-1000.0,CAD,DB,2019-10-09,2019-10-09,,,,,0,1333.33
